# ID|               time|           ip|url|                                                                agent|refer        |query
1584|09.04.2018 02:27:23|207.46.13.209|/|mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)|empty_REFERER|none
1585|09.04.2018 02:56:53|208.80.194.35|/|mozilla/5.0 (x11; linux x86_64) applewebkit/534.30 (khtml, like gecko) ubuntu/11.04 chromium/12.0.742.112 chrome/12.0.742.112 safari/534.30|empty_REFERER|none
1586|09.04.2018 03:35:14|208.80.194.27, 208.80.194.27|/|mozilla/5.0 (windows nt 5.1) gecko/20100101 firefox/4.0.1|empty_REFERER|none
1587|09.04.2018 04:14:09|54.173.35.129|/contact/|ia_archiver|empty_REFERER|none
1588|09.04.2018 04:16:25|54.173.35.129|/home/|ia_archiver|empty_REFERER|none
1589|09.04.2018 05:11:38|64.74.215.89|/|mozilla/5.0 (windows nt 6.1) applewebkit/537.36 (khtml, like gecko) chrome/56.0.2924.76 safari/537.36|empty_REFERER|none
1590|09.04.2018 05:25:34|141.8.142.51|/home/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1591|09.04.2018 05:25:36|5.45.207.5|/about/pl/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1592|09.04.2018 05:25:39|141.8.142.91|/about/en/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1593|09.04.2018 05:25:41|141.8.142.91|/contact/pl/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1594|09.04.2018 05:25:43|141.8.142.91|/contact/en/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1595|09.04.2018 05:25:45|141.8.142.91|/media/pl/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1596|09.04.2018 05:25:48|141.8.142.91|/media/en/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1597|09.04.2018 05:25:50|141.8.142.91|/home/ru/|mozilla/5.0 (compatible; yandexbot/3.0; +http://yandex.com/bots)|empty_REFERER|none
1598|09.04.2018 07:16:03|2400:cb00:36:1006:0:0:a29e:40ac, 2400:cb00:36:1006::a29e:40ac|/|mozilla/5.0 (compatible; cloudflare-alwaysonline/1.0; +http://www.cloudflare.com/always-online)|empty_REFERER|none
1599|09.04.2018 07:16:04|162.158.64.172, 162.158.64.172|/|mozilla/5.0 (compatible; cloudflare-alwaysonline/1.0; +http://www.cloudflare.com/always-online) applewebkit/534.34|empty_REFERER|none
